dataset,seed,Precision,HR,F1,diversity,CC,Genres
random,54425,0.16579646709395326,0.019168579328175558,0.0343641438563332,0.09005119967874711,0.30708473544342013,6
random,54425,0.17458183523527035,0.02069246022928136,0.03699952084084275,0.09456881839172773,0.35860559637329925,7
random,54425,0.18292949820228607,0.021832139390097417,0.0390086966511098,0.08924806746310611,0.41419086249310316,8
random,54425,0.18336720337658666,0.02249040132166335,0.0400665498776743,0.07981126392932436,0.4718823790757108,9
random,54425,0.17602000937939938,0.020819758674394576,0.03723530212799527,0.06485292641301074,0.5403519741984368,10
random,54425,0.1632015007034572,0.01852305169850838,0.03327002097237348,0.05270555165144062,0.6105082151995737,11
random,54425,0.14597467562920308,0.016067093983696202,0.028947953829149855,0.0405581768898705,0.653974313617425,12
random,54425,0.13168672815382362,0.014114764292418435,0.02549668178487717,0.03383194458387712,0.6752671893897904,13
random,54425,0.11980615913709664,0.012496246768348882,0.022631898773106354,0.029113542816986245,0.6912039360555841,14
random,54425,0.11180240737845944,0.011467430578352847,0.02080129845801189,0.02519827326573637,0.7059476892951786,15
random,54425,0.10495544786618763,0.011116995638371211,0.020104500619147876,0.02549944784660175,0.7209876340061001,16
random,54425,0.09954666249804595,0.010489979721087525,0.01897990432726727,0.026503363116152995,0.7327447899097679,17
random,54425,0.09351258402376073,0.009890148570496105,0.01788837346949111,0.028109627547434995,0.7220078490740173,18
random,954358,0.07550414256682654,0.008159659318740478,0.014727709394358713,0.04045778536291537,0.10208732711878891,0
random,954358,0.0834766296701565,0.009394170551914233,0.01688784191253411,0.044975404075895994,0.11003513159950554,1
random,954358,0.0916992340159444,0.010028185304494557,0.018079234038080833,0.050195763477562494,0.12241758060931866,2
random,954358,0.10489291855557321,0.011294843675273092,0.020393698871219272,0.05882943479570324,0.1459812576618828,3
random,954358,0.12424574019071581,0.013269958260052901,0.023978873756154193,0.06686075695211324,0.18683922562384275,4
random,954358,0.14478661872753082,0.01655695636201805,0.029715787898531014,0.07860656560586286,0.23862336786156935,5
random,954358,0.1603564170705046,0.01864709623906753,0.033409193891010096,0.08814376066659974,0.29619969887199965,6
random,954358,0.17339377833359673,0.02043830290390278,0.036566439782400824,0.09316333701435599,0.35765942917321353,7
random,954358,0.18302329216820726,0.02189346052748677,0.03910869335945245,0.09306294548740086,0.4163135680376412,8
random,954358,0.18480537752071632,0.022070373358846058,0.03943162659967075,0.08362614195361912,0.4767284006483239,9
random,954358,0.17355010161013246,0.02022895450117958,0.03623443296296993,0.06605762473647224,0.544301193816188,10
random,954358,0.15929341879006012,0.018345728553881183,0.032902137453789476,0.052203594016664995,0.5955834560608336,11
random,954358,0.143786149757701,0.01659971015290705,0.02976332715752653,0.038449954823812874,0.6262557284253559,12
random,954358,0.13131155229013763,0.014146928018774301,0.025542066359238325,0.032526854733460495,0.6453271681627344,13
random,954358,0.12171330311083463,0.012837023887342607,0.023224567554745845,0.02780845296656962,0.6605481187728095,14
random,954358,0.11589807722369978,0.012063591392087037,0.021852591668733084,0.024897098684870996,0.6762874044577112,15
random,954358,0.11030170392371512,0.011704320507854965,0.021162995865171827,0.023090051199678746,0.6922488337461126,16
random,954358,0.1043926840706585,0.01079136891122473,0.01956069327785501,0.022387310510992874,0.7102424656294805,17
random,954358,0.09935907456620298,0.010592605931475726,0.01914425532801421,0.023090051199678746,0.7256279670569568,18
future,0,0.08947944348913464,0.009178524264153038,0.016649222803001927,0.04447344644112037,0.10507392445471032,0
future,0,0.11202125996560951,0.012533880226165126,0.022545212554556254,0.04828832446541512,0.1137951177772362,1
future,0,0.14685008597780447,0.01866613655532802,0.03312211596026063,0.052605160124485496,0.13309692865897924,2
future,0,0.17761450680006718,0.024518798922839806,0.04308933020647361,0.059331392430478865,0.16385970397306823,3
future,0,0.2066281069251269,0.02925887885815082,0.05125934971898656,0.06425057725127999,0.20582838995251826,4
future,0,0.22898233546975813,0.03300426358734328,0.057692976540698444,0.07258307398855536,0.2515981998140485,5
future,0,0.2534000312646619,0.03832229405526851,0.06657612166699099,0.07469129605461299,0.3072328311790867,6
future,0,0.27150226668751665,0.04120471555296189,0.07155052049487236,0.07238229093464511,0.3593789852151078,7
future,0,0.2764733468813567,0.040848303283827346,0.07117993441308253,0.06766388916775425,0.40859613470129086,8
future,0,0.2664061278724468,0.03811707245769845,0.06669194116100133,0.057725127999196865,0.46274158116879743,9
future,0,0.2509301234953935,0.0345203892326591,0.06069146942827631,0.04517618712980624,0.5140814361995314,10
future,0,0.22510551821166722,0.02821442743706762,0.05014388656212242,0.03563899206906937,0.5625581070074034,11
future,0,0.19759262154135226,0.022271929516366206,0.04003163692147661,0.028511193655255496,0.5993269871568274,12
future,0,0.17061122401125864,0.018078832375493376,0.03269331494559727,0.023993574942274873,0.6185218400072695,13
future,0,0.1518836954822598,0.01514228446925557,0.027539022658651966,0.022487702037947997,0.6296125651004492,14
future,0,0.13931530404877496,0.013575858478707039,0.02474080019300327,0.021684569822306998,0.6371736751602669,15
future,0,0.13049867125215106,0.012228317432217785,0.02236128137030755,0.021182612187531372,0.6469644487959322,16
future,0,0.12324527122088617,0.01174112335674093,0.021439759719002856,0.021483786768396747,0.6638720452844182,17
future,0,0.11430357980303353,0.010862437299063487,0.019839497931074607,0.021283003714486496,0.6907349662259784,18
future,54425,0.09001094262935674,0.010570198484673755,0.018918726092125502,0.04356992269852424,0.0998823461655467,0
future,54425,0.11427231514772622,0.013585028852102957,0.024283199536516833,0.048991065154100996,0.11102243650394324,1
future,54425,0.14316085665155753,0.018203210718374864,0.03229947388816184,0.05501455677140849,0.13354121586597703,2
future,54425,0.17533218696264274,0.023845994311421606,0.04198221216978957,0.057825519526151996,0.16494573936794868,3
future,54425,0.2013443801782138,0.028373888626012627,0.04973851708345344,0.06314627045477361,0.20346708572273808,4
future,54425,0.22557448804127556,0.03219765170674402,0.05635185250803182,0.07007328581467724,0.25070139785918444,5
future,54425,0.25246209160544647,0.03730297464275237,0.06500153468015045,0.07348659773115149,0.3065910829912023,6
future,54425,0.2715335313428238,0.040877529735610416,0.07105779138143192,0.07428972994679249,0.3677793044436915,7
future,54425,0.27375332186963247,0.04058199079022221,0.07068537539037371,0.06615801626342736,0.4240721390783412,8
future,54425,0.2664999218383677,0.039406520313469647,0.0686604342791127,0.053809858447946994,0.4744000065820231,9
future,54425,0.24680318899484704,0.034855180681491814,0.061083714679375435,0.04166248368637687,0.5134067778481657,10
future,54425,0.22329216820385067,0.029508183709508605,0.05212766731046254,0.03343037847605662,0.5457410134684882,11
future,54425,0.1976864155072733,0.024108525561064405,0.04297598473956046,0.027406886858749122,0.5772113572974349,12
future,54425,0.17492574644364892,0.01962501020550221,0.03529073459583156,0.02278887661881337,0.5982738619254397,13
future,54425,0.15719868688447983,0.016740274422683478,0.030258305989128747,0.02078104607971087,0.6099158322569326,14
future,54425,0.14413006096608,0.014985493611685876,0.027148321401896394,0.019475956229294246,0.6162345836453327,15
future,54425,0.13537595748007095,0.013976572069497081,0.025337258523892965,0.018572432486698123,0.6239766996042934,16
future,54425,0.12859152727841353,0.01262740366305264,0.022996592762283573,0.017869691798012247,0.638959051529125,17
