algorithm,seed,year,count
ALS,954358,1924,0
ALS,954358,1925,0
ALS,954358,1926,1
ALS,954358,1927,5
ALS,954358,1928,0
ALS,954358,1929,0
ALS,954358,1930,0
ALS,954358,1931,4
ALS,954358,1932,0
ALS,954358,1933,4
ALS,954358,1934,2
ALS,954358,1935,3
ALS,954358,1936,1
ALS,954358,1937,21
ALS,954358,1938,2
ALS,954358,1939,45
ALS,954358,1940,34
ALS,954358,1941,68
ALS,954358,1942,74
ALS,954358,1943,0
ALS,954358,1944,4
ALS,954358,1945,0
ALS,954358,1946,21
ALS,954358,1947,0
ALS,954358,1948,4
ALS,954358,1949,6
ALS,954358,1950,21
ALS,954358,1951,18
ALS,954358,1952,9
ALS,954358,1953,12
ALS,954358,1954,46
ALS,954358,1955,12
ALS,954358,1956,0
ALS,954358,1957,28
ALS,954358,1958,37
ALS,954358,1959,46
ALS,954358,1960,58
ALS,954358,1961,12
ALS,954358,1962,40
ALS,954358,1963,22
ALS,954358,1964,132
ALS,954358,1965,15
ALS,954358,1966,21
ALS,954358,1967,45
ALS,954358,1968,123
ALS,954358,1969,11
ALS,954358,1970,6
ALS,954358,1971,179
ALS,954358,1972,26
ALS,954358,1973,34
ALS,954358,1974,153
ALS,954358,1975,318
ALS,954358,1976,134
ALS,954358,1977,93
ALS,954358,1978,35
ALS,954358,1979,235
ALS,954358,1980,274
ALS,954358,1981,203
ALS,954358,1982,282
ALS,954358,1983,215
ALS,954358,1984,279
ALS,954358,1985,238
ALS,954358,1986,231
ALS,954358,1987,238
ALS,954358,1988,290
ALS,954358,1989,330
ALS,954358,1990,432
ALS,954358,1991,350
ALS,954358,1992,380
ALS,954358,1993,588
ALS,954358,1994,1141
ALS,954358,1995,1068
ALS,954358,1996,566
ALS,954358,1997,1024
ALS,954358,1998,1093
ALS,954358,1999,2075
ALS,954358,2000,1413
ALS,954358,2001,1842
ALS,954358,2002,1325
ALS,954358,2003,1283
ALS,954358,2004,1539
ALS,954358,2005,786
ALS,954358,2006,1332
ALS,954358,2007,863
ALS,954358,2008,1495
ALS,954358,2009,1382
ALS,954358,2010,1204
ALS,954358,2011,441
ALS,954358,2012,1163
ALS,954358,2013,510
ALS,954358,2014,1290
ALS,954358,2015,561
ALS,954358,2016,37
ALS,954358,2017,0
ALS,954358,2018,0
ALS,954358,2019,0
PopK,0,1902,0
PopK,0,1903,0
PopK,0,1915,0
PopK,0,1916,0
PopK,0,1917,0
PopK,0,1918,0
PopK,0,1919,0
PopK,0,1920,0
PopK,0,1921,0
PopK,0,1922,0
PopK,0,1923,0
PopK,0,1924,0
PopK,0,1925,0
PopK,0,1926,0
PopK,0,1927,0
PopK,0,1928,0
PopK,0,1929,0
PopK,0,1930,0
PopK,0,1931,0
PopK,0,1932,0
PopK,0,1933,0
PopK,0,1934,0
PopK,0,1935,0
PopK,0,1936,0
PopK,0,1937,0
PopK,0,1938,0
PopK,0,1939,0
PopK,0,1940,0
PopK,0,1941,0
PopK,0,1942,0
PopK,0,1943,0
PopK,0,1944,0
PopK,0,1945,0
PopK,0,1946,0
PopK,0,1947,0
PopK,0,1948,0
PopK,0,1949,0
PopK,0,1950,0
PopK,0,1951,0
PopK,0,1952,0
PopK,0,1953,0
PopK,0,1954,0
PopK,0,1955,0
PopK,0,1956,0
PopK,0,1957,0
PopK,0,1958,0
PopK,0,1959,0
PopK,0,1960,0
PopK,0,1961,0
